18:57:11.340Z,91
18:57:11.444Z,93
18:57:11.548Z,89
18:57:11.639Z,91
18:57:11.744Z,89
18:57:11.849Z,86
18:57:11.954Z,96
18:57:12.043Z,91
18:57:12.149Z,96
18:57:12.254Z,86
18:57:12.392Z,86
18:57:12.479Z,86
18:57:12.568Z,86
18:57:12.659Z,96
18:57:12.794Z,96
18:57:12.884Z,89
18:57:12.973Z,86
18:57:20.489Z,86
18:57:20.579Z,86
18:57:20.668Z,86
18:57:20.804Z,86
18:57:20.894Z,89
18:57:20.984Z,86
18:57:21.074Z,89
18:57:21.209Z,86
18:57:21.299Z,86
18:57:21.389Z,86
18:57:21.479Z,86
18:57:21.614Z,84
18:57:21.704Z,86
18:57:21.794Z,89
18:57:21.884Z,86
18:58:01.395Z,89
18:58:01.485Z,93
18:58:01.574Z,96
18:58:01.665Z,89
18:58:01.800Z,98
18:58:01.890Z,89
18:58:01.980Z,89
18:58:02.069Z,89
18:58:02.204Z,84
18:58:05.445Z,91
18:58:05.584Z,89
18:58:05.711Z,86
18:58:05.759Z,89
18:58:05.850Z,96
18:58:05.940Z,96
18:58:06.030Z,98
18:58:30.930Z,86
18:58:31.035Z,96
18:58:31.125Z,89
18:58:31.230Z,98
18:58:31.335Z,98
18:58:31.440Z,91
18:58:31.530Z,89
18:58:31.635Z,86
18:58:31.739Z,93
18:58:31.862Z,91
18:58:31.935Z,86
18:58:32.040Z,93
